product_type,name,brandName,stockStatus,description.short,description.complete,genderLabel,department,pricing.regularPrice.value,pricing.finalPrice.value,pricing.retailPrice.value
SimpleProduct,Pre-owned Cartier Roadster Chronograph Silver Dial Men's Watch W62021Y2,Cartier,IN_STOCK,Cartier W62021Y2 Mens,"18kt yellow gold case with a yellow gold-tone 18kt yellow gold bracelet. Fixed yellow 18kt yellow gold bezel. Silver dial with black sword-shaped hands and black Roman numeral hour markers. Minute markers around an outer ring. Dial Type: Analog. Luminescent hands. Date display at the 3 o'clock position. Chronograph - three sub-dials displaying:  60 second, 30 minute and 12 hour. Automatic movement. Scratch resistant sapphire crystal. 18k yellow gold - screwdown crown. Solid case back. Tonneau case shape, case size: 47 mm, case thickness: 12.2 mm. Band width: 20 mm. Hidden clasp. Water resistant at 100 meters / 330 feet. Functions: hours, minutes, seconds, date, chronograph. Additional Info: date displays at 3 o'clock position; chronograph. Roadster Series. Luxury watch style. Watch label: Swiss Made. Item Variations: W62021Y2, Cartier-W62021Y2. Pre-owned Cartier Roadster Chronograph Silver Dial Men's Watch W62021Y2.",Mens,Watches,26705.0,26705.0,28800.0
SimpleProduct,Rolex Land Dweller Automatic Chronometer Men's Watch M127335-0001,Rolex,IN_STOCK,Rolex M127335-0001 Mens,"Rose gold-tone 18kt rose gold case with a rose gold-tone 18kt rose gold flat jubilee bracelet. Fixed rose gold-tone 18kt rose gold bezel. White honeycomb motif dial with rose gold-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Rolex Calibre 7135 Automatic movement, based upon Rolex Calibre 7140, containing 39 Jewels, bitting at 36000 vph, and has a power reserve of approximately 66 hours. Scratch resistant sapphire crystal. Screw down crown. Transparent see through case back. Round case shape, case size: 40 mm. Fold over clasp with a safety release. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second, chronometer. Land Dweller Series. Luxury watch style. Watch label: Swiss Made. Item Variations: 127335-0001. Rolex Land Dweller Automatic Chronometer Men's Watch M127335-0001.",Mens,Watches,46100.0,46100.0,46100.0
SimpleProduct,Gucci Grey Square Ladies Sunglasses GG1695S 003 51,Gucci,IN_STOCK,Gucci GG1695S 003 51 Ladies,Gucci Sunglasses. Series number: GG1695S. Color code: 003. Shape: Square. Lens Width: 51 mm. Lens Bridge: 21 mm. Arm Length: 140 mm. 100% UV protection. Non-Polarized. Frame Material: Recycled Acetate. Frame Color: Black Glitter. Lenses Type: Grey. Rim Style: Full-Rim. UPC/EAN code: 889652499536. Gucci Grey Square Ladies Sunglasses GG1695S 003 51. <br/><br/>Manufacturer's Packaging Included. Packaging Size And Color May Vary.,Womens,Sunglasses,427.99,249.99,520.0
SimpleProduct,Certina DS Trust Quartz Black Dial Ladies Watch C019.510.11.051.00,Certina,OUT_OF_STOCK,Certina C019.510.11.051.00 Ladies,"Stainless steel case with a stainless steel bracelet. Fixed stainless steel bezel. Black dial with silver-tone hands and index hour markers. Dial Type: Analog. Luminescent hands and markers. Date at 6 o'clock position. Quartz movement. Scratch resistant sapphire crystal. Solid case back. Case diameter: 34 mm. Case thickness; 7.3 mm. Square case shape. Fold over clasp with a push button release. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second. Watch label: Swiss Made. Certina DS Trust Quartz Black Dial Ladies Watch C019.510.11.051.00",Womens,Watches,404.99,155.0,560.0
SimpleProduct,Rolex Oyster Perpetual Datejust 36 Blue Dial Stainless Steel Bracelet Automatic Ladies Watch 116244BLJDO,Rolex,IN_STOCK,Rolex 116244BLJDO Ladies,"Stainless steel case with a stainless steel Rolex oyster bracelet. Fixed 18kt white gold bezel set with diamonds. Blue jubilee dial with silver-tone hands and diamond hour markers. Dial Type: Analog. Date display at the 3 o'clock position. Rolex calibre 3135 automatic movement with a 50-hour power reserve. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Round case shape. Case size: 36 mm. Oysterlock clasp. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second, chronometer. Luxury watch style. Watch label: Swiss Made. Rolex Oyster Perpetual Datejust 36 Blue Dial Stainless Steel Bracelet Automatic Ladies Watch 116244BLJDO.",Womens,Watches,16135.99,15318.0,16650.0
SimpleProduct,Jimmy Choo Lizard Print Umika Card Case,Jimmy Choo,IN_STOCK,Jimmy Choo J000169283-ROSE/GOLD Ladies,"Jimmy Choo Ladies Card Case. SKU: J000169283-ROSE/GOLD. Color: Rose/Gold. Size: L 10 x H 7.5 x W 0.5 cm. Jimmy Choo Lizard Print Umika Card Case. The Umika card holder, crafted from lizard-print leather and accented with signature gold-tone Diamond studs, offers a stylish yet practical design with three card slots and a Jimmy Choo emblem. 100% Leather. Made in Italy.",Womens,Bags,237.99,149.0,295.0
SimpleProduct,Guess Smoke Gradient Navigator Ladies Sunglasses GU00159 28B 63,Guess,IN_STOCK,Guess GU00159 28B 63 Ladies,Guess Sunglasses. Series number: GU00159. Color code: 28B. Shape: Navigator. Lens Width: 63 mm. Lens Bridge: 17 mm. Arm Length: 130 mm. 100% UV protection. Non-Polarized. Frame Material: Metal. Frame Color: Shiny Rose Gold. Lenses Type: Smoke Gradient. Rim Style: Full-Rim. UPC/EAN code: 889214535115. Guess Smoke Gradient Navigator Ladies Sunglasses GU00159 28B 63. <br/><br/>Manufacturer's Packaging Included. Packaging Size And Color May Vary.,Womens,Sunglasses,78.99,29.99,102.0
SimpleProduct,Longines Conquest Automatic Green Dial Men's Watch L3.781.3.06.9,Longines,OUT_OF_STOCK,Longines L3.781.3.06.9 Mens,"Stainless steel case with a green canvas strap. Uni-directional rotating yellow gold PVD bezel with an inlaid green ceramic ring. Green dial with luminous yellow gold-tone hands and dot hour markers. Arabic numerals appear at the 6, 9 and 12 o'clock positions. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Longines calibre L888 automatic movement, based upon ETA A31.L11, containing 21 Jewels, bitting at 25200 vph, and has a power reserve of approximately 64 hours. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Round case shape. Case size: 41 mm. Case thickness: 11.9 mm. Band width: 21 mm. Fold over clasp with a push button release. Water resistant at 300 meters / 1000 feet. Functions: date, hour, minute, second. Additional Info: original box, international warranty card, manual (complete accessories). Conquest Series. Luxury watch style. Watch label: Swiss Made. Longines Conquest Automatic Green Dial Men's Watch L3.781.3.06.9.",Mens,Watches,1640.99,1415.0,2025.0
SimpleProduct,Citizen Promaster Black Dial Stainless Steel Men's Watch BN2039-59E,Citizen,OUT_OF_STOCK,Citizen BN2039-59E Mens,"Stainless steel case with a 1 stainless steel bracelet. Uni-directional rotating stainless steel with an inlaid red ring bezel. Black dial with lumminous silver-tone hands and dot hour markers. Depth markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Citizen caliber J250 eco-drive movement. Scratch resistant mineral crystal. Screw down crown. Solid case back. Round case shape. Case size: 46 mm. Case thickness: 16.20 mm. Band width: 22 mm. Deployment clasp. Water resistant at 200 meters / 660 feet. Functions: date, hour, minute, second. Promaster Series. Casual watch style. Citizen Promaster Black Dial Stainless Steel Men's Watch BN2039-59E.",Mens,Watches,429.88,429.88,429.88
SimpleProduct,Panerai Luminor Base 8 Days Titanio Mechanical Men's Watch PAM00562,Panerai,OUT_OF_STOCK,Panerai PAM00562 Mens,"Grey titanium case with a brown alligator leather strap. Fixed grey titanium bezel. Brown dial with luminous black hands and index hour markers. Arabic numerals mark the 3, 6, 9 and 12 o'clock positions. Dial Type: Analog. Luminescent hands and markers. Panerai Calibre P.5000 Hand Wind movement, containing 21 Jewels, composed of 127 parts, bitting at 21600 vph, and has a power reserve of approximately 192 hours. Scratch resistant anti-reflective sapphire crystal. Screw down crown. Transparent sapphire case back. Cushion case shape. Case size: 44 mm. Tang clasp. Water resistant at 300 meters / 1000 feet. Functions: hour, minute. Dive watch style. Watch label: Swiss Made. Panerai Luminor Base 8 Days Titanio Mechanical Men's Watch PAM00562.",Mens,Watches,5896.99,4990.0,6800.0
